"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","1,568.89","1,647.86","1,649.19","1,547.61","783.74K","-4.76%"
"03/02/2023","1,647.38","1,666.09","1,677.45","1,620.20","440.63K","-1.12%"
"03/01/2023","1,666.09","1,604.69","1,668.55","1,595.40","497.12K","3.83%"
"02/28/2023","1,604.69","1,633.66","1,646.33","1,598.67","411.49K","-1.77%"
"02/27/2023","1,633.66","1,641.59","1,664.98","1,609.82","458.53K","-0.48%"
"02/26/2023","1,641.60","1,594.66","1,648.77","1,588.65","326.58K","2.94%"
"02/25/2023","1,594.66","1,608.24","1,608.62","1,562.10","309.29K","-0.84%"
"02/24/2023","1,608.24","1,650.52","1,663.82","1,579.68","548.07K","-2.56%"
"02/23/2023","1,650.52","1,643.39","1,678.20","1,630.94","529.75K","0.43%"
"02/22/2023","1,643.39","1,659.41","1,666.39","1,600.79","560.40K","-0.97%"
"02/21/2023","1,659.41","1,703.29","1,716.35","1,637.16","554.52K","-2.58%"
"02/20/2023","1,703.27","1,681.49","1,719.10","1,651.54","478.59K","1.29%"
"02/19/2023","1,681.52","1,691.62","1,722.28","1,670.97","427.00K","-0.60%"
"02/18/2023","1,691.62","1,693.96","1,708.87","1,681.17","283.51K","-0.14%"
"02/17/2023","1,693.96","1,640.66","1,720.06","1,631.92","617.21K","3.25%"
"02/16/2023","1,640.66","1,675.43","1,738.87","1,634.97","894.27K","-2.08%"
"02/15/2023","1,675.43","1,555.45","1,676.94","1,542.80","627.07K","7.71%"
"02/14/2023","1,555.46","1,505.85","1,565.20","1,494.30","705.28K","3.29%"
"02/13/2023","1,505.84","1,515.44","1,525.56","1,464.10","681.85K","-0.63%"
"02/12/2023","1,515.44","1,538.34","1,547.30","1,495.05","302.73K","-1.49%"
"02/11/2023","1,538.34","1,513.12","1,542.64","1,508.07","306.24K","1.62%"
"02/10/2023","1,513.82","1,545.35","1,554.19","1,499.49","523.33K","-2.04%"
"02/09/2023","1,545.35","1,650.97","1,655.96","1,530.98","702.21K","-6.40%"
"02/08/2023","1,650.99","1,671.39","1,694.28","1,631.15","447.57K","-1.22%"
"02/07/2023","1,671.40","1,613.72","1,676.83","1,613.20","481.91K","3.57%"
"02/06/2023","1,613.72","1,629.44","1,657.75","1,606.59","401.03K","-0.96%"
"02/05/2023","1,629.44","1,666.90","1,671.88","1,612.70","435.14K","-2.25%"
"02/04/2023","1,666.90","1,663.78","1,694.58","1,646.11","328.66K","0.19%"
"02/03/2023","1,663.79","1,641.70","1,673.59","1,628.73","489.79K","1.34%"
"02/02/2023","1,641.71","1,642.10","1,710.27","1,632.39","685.27K","-0.02%"
"02/01/2023","1,642.10","1,585.27","1,647.27","1,560.18","505.44K","3.59%"
"01/31/2023","1,585.27","1,566.50","1,602.03","1,562.04","368.94K","1.20%"
"01/30/2023","1,566.50","1,645.97","1,647.25","1,540.25","630.55K","-4.83%"
"01/29/2023","1,645.97","1,572.13","1,657.19","1,566.90","595.67K","4.63%"
"01/28/2023","1,573.07","1,597.61","1,605.96","1,561.24","332.62K","-1.54%"
"01/27/2023","1,597.60","1,602.54","1,620.15","1,560.21","533.75K","-0.31%"
"01/26/2023","1,602.55","1,611.20","1,629.89","1,581.76","552.26K","-0.54%"
"01/25/2023","1,611.20","1,555.97","1,638.97","1,523.71","681.59K","3.54%"
"01/24/2023","1,556.15","1,626.52","1,641.17","1,539.51","493.47K","-4.33%"
"01/23/2023","1,626.53","1,627.04","1,643.82","1,591.90","436.57K","-0.03%"
"01/22/2023","1,627.03","1,626.66","1,662.13","1,609.32","456.36K","0.09%"
"01/21/2023","1,625.53","1,659.96","1,678.27","1,622.89","523.34K","-2.08%"
"01/20/2023","1,659.98","1,551.12","1,662.26","1,543.21","472.15K","6.98%"
"01/19/2023","1,551.62","1,511.35","1,560.70","1,510.65","329.04K","2.67%"
"01/18/2023","1,511.31","1,564.66","1,604.74","1,505.37","801.71K","-3.41%"
"01/17/2023","1,564.67","1,576.94","1,603.32","1,544.45","536.73K","-0.78%"
"01/16/2023","1,576.94","1,552.69","1,598.18","1,526.40","617.00K","1.56%"
"01/15/2023","1,552.69","1,550.05","1,564.34","1,517.40","411.43K","0.17%"
"01/14/2023","1,550.02","1,450.86","1,576.83","1,449.47","1.03M","6.83%"
"01/13/2023","1,450.86","1,416.08","1,463.53","1,401.98","552.05K","2.46%"
"01/12/2023","1,416.08","1,389.84","1,435.95","1,365.78","960.62K","1.89%"
"01/11/2023","1,389.84","1,335.14","1,392.40","1,322.10","509.99K","4.10%"
"01/10/2023","1,335.13","1,320.51","1,344.42","1,316.95","487.24K","1.11%"
"01/09/2023","1,320.51","1,288.39","1,344.39","1,285.97","629.22K","2.49%"
"01/08/2023","1,288.38","1,263.91","1,289.13","1,259.15","231.75K","1.94%"
"01/07/2023","1,263.90","1,269.14","1,270.95","1,261.46","141.94K","-0.41%"
"01/06/2023","1,269.14","1,250.95","1,274.85","1,240.38","369.54K","1.45%"
"01/05/2023","1,250.95","1,256.92","1,259.08","1,242.93","289.49K","-0.47%"
