"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2023","0.2119","0.2127","0.2149","0.2109","13.42M","-0.39%"
"10/14/2023","0.2127","0.2091","0.2169","0.2085","25.73M","1.74%"
"10/13/2023","0.2091","0.2026","0.2107","0.2021","19.98M","3.15%"
"10/12/2023","0.2027","0.2059","0.2065","0.1998","16.78M","-1.54%"
"10/11/2023","0.2059","0.2038","0.2066","0.2004","25.35M","1.02%"
"10/10/2023","0.2038","0.2076","0.2126","0.2012","23.10M","-1.82%"
"10/09/2023","0.2076","0.2187","0.2214","0.2035","34.09M","-5.11%"
"10/08/2023","0.2187","0.2207","0.2222","0.2168","13.81M","-0.88%"
"10/07/2023","0.2207","0.2253","0.2266","0.2199","13.36M","-1.94%"
"10/06/2023","0.2251","0.2154","0.2276","0.2154","23.72M","4.48%"
"10/05/2023","0.2154","0.2194","0.2212","0.2133","14.56M","-1.80%"
"10/04/2023","0.2194","0.2183","0.2229","0.2110","25.65M","0.50%"
"10/03/2023","0.2183","0.2221","0.2272","0.2161","31.05M","-1.71%"
"10/02/2023","0.2221","0.2347","0.2389","0.2210","39.02M","-5.38%"
"10/01/2023","0.2347","0.2227","0.2367","0.2225","37.23M","5.40%"
"09/30/2023","0.2227","0.2193","0.2237","0.2184","18.27M","1.55%"
"09/29/2023","0.2193","0.2182","0.2214","0.2153","22.81M","0.51%"
"09/28/2023","0.2182","0.2112","0.2195","0.2099","25.25M","3.33%"
"09/27/2023","0.2112","0.2139","0.2161","0.2096","22.10M","-1.36%"
"09/26/2023","0.2141","0.2162","0.2176","0.2113","16.71M","-0.99%"
"09/25/2023","0.2162","0.2153","0.2190","0.2129","19.21M","0.41%"
"09/24/2023","0.2153","0.2212","0.2216","0.2136","19.68M","-2.67%"
"09/23/2023","0.2212","0.2233","0.2249","0.2164","19.77M","-0.92%"
"09/22/2023","0.2233","0.2234","0.2238","0.2190","26.20M","-0.06%"
"09/21/2023","0.2234","0.2280","0.2372","0.2232","53.00M","-2.01%"
"09/20/2023","0.2280","0.2338","0.2363","0.2258","32.66M","-2.47%"
"09/19/2023","0.2338","0.2268","0.2356","0.2253","32.94M","3.07%"
"09/18/2023","0.2268","0.2256","0.2345","0.2233","36.58M","0.53%"
"09/17/2023","0.2256","0.2361","0.2363","0.2237","29.88M","-4.44%"
"09/16/2023","0.2361","0.2372","0.2410","0.2342","33.19M","-0.46%"
"09/15/2023","0.2372","0.2295","0.2378","0.2276","36.76M","3.35%"
"09/14/2023","0.2295","0.2236","0.2310","0.2232","37.31M","2.63%"
"09/13/2023","0.2236","0.2252","0.2299","0.2217","46.02M","-0.70%"
"09/12/2023","0.2252","0.2230","0.2367","0.2214","48.48M","0.98%"
"09/11/2023","0.2230","0.2310","0.2363","0.2180","56.46M","-3.46%"
"09/10/2023","0.2310","0.2351","0.2351","0.2213","48.84M","-1.75%"
"09/09/2023","0.2351","0.2386","0.2406","0.2336","26.80M","-1.46%"
"09/08/2023","0.2386","0.2491","0.2553","0.2371","56.99M","-4.23%"
"09/07/2023","0.2491","0.2567","0.2577","0.2408","42.71M","-2.95%"
"09/06/2023","0.2567","0.2501","0.2616","0.2458","81.52M","2.64%"
"09/05/2023","0.2501","0.2675","0.2713","0.2494","69.48M","-6.51%"
"09/04/2023","0.2675","0.2595","0.2694","0.2533","97.79M","3.09%"
"09/03/2023","0.2595","0.2517","0.2732","0.2475","153.98M","3.09%"
"09/02/2023","0.2517","0.2302","0.2535","0.2251","96.63M","9.34%"
"09/01/2023","0.2302","0.2294","0.2392","0.2228","83.57M","0.35%"
"08/31/2023","0.2294","0.2338","0.2543","0.2257","205.86M","-1.87%"
"08/30/2023","0.2338","0.2160","0.2348","0.2139","94.76M","8.24%"
"08/29/2023","0.2160","0.2069","0.2173","0.2021","51.20M","4.39%"
"08/28/2023","0.2069","0.2102","0.2120","0.2028","35.63M","-1.56%"
"08/27/2023","0.2102","0.2076","0.2144","0.2066","34.46M","1.24%"
"08/26/2023","0.2076","0.2177","0.2177","0.2060","31.45M","-4.64%"
"08/25/2023","0.2177","0.2091","0.2179","0.2001","78.59M","4.11%"
"08/24/2023","0.2091","0.2085","0.2167","0.2040","56.62M","0.29%"
"08/23/2023","0.2085","0.1962","0.2097","0.1953","44.44M","6.27%"
"08/22/2023","0.1962","0.2015","0.2044","0.1855","53.77M","-2.62%"
"08/21/2023","0.2015","0.2047","0.2084","0.1965","49.67M","-1.63%"
"08/20/2023","0.2048","0.2099","0.2127","0.2031","34.33M","-2.42%"
"08/19/2023","0.2099","0.1995","0.2197","0.1993","76.76M","5.23%"
"08/18/2023","0.1995","0.1881","0.2047","0.1827","95.53M","5.78%"
"08/17/2023","0.1886","0.1961","0.2012","0.1622","94.85M","-3.87%"
"08/16/2023","0.1961","0.2031","0.2054","0.1927","57.51M","-3.43%"
"08/15/2023","0.2031","0.2200","0.2220","0.1978","71.54M","-7.67%"
"08/14/2023","0.2200","0.2189","0.2339","0.2124","151.42M","0.49%"
"08/13/2023","0.2189","0.2005","0.2220","0.1996","70.81M","9.18%"
"08/12/2023","0.2005","0.2025","0.2034","0.1994","19.02M","-0.97%"
"08/11/2023","0.2025","0.2009","0.2041","0.1998","18.28M","0.71%"
"08/10/2023","0.2010","0.1990","0.2040","0.1963","33.29M","1.02%"
"08/09/2023","0.1990","0.2004","0.2035","0.1957","38.35M","-0.67%"
"08/08/2023","0.2004","0.1954","0.2017","0.1931","48.41M","2.52%"
"08/07/2023","0.1954","0.1971","0.2002","0.1908","41.27M","-0.83%"
"08/06/2023","0.1971","0.1943","0.2001","0.1938","34.41M","1.42%"
"08/05/2023","0.1943","0.1981","0.1982","0.1916","35.09M","-1.91%"
"08/04/2023","0.1981","0.2017","0.2036","0.1970","41.51M","-1.72%"
"08/03/2023","0.2016","0.2041","0.2061","0.2007","42.20M","-1.25%"
"08/02/2023","0.2041","0.2105","0.2147","0.2036","64.52M","-3.10%"
"08/01/2023","0.2106","0.2077","0.2108","0.2009","64.15M","1.47%"
"07/31/2023","0.2076","0.2099","0.2122","0.2064","36.63M","-1.09%"
"07/30/2023","0.2099","0.2147","0.2150","0.2037","36.26M","-2.27%"
"07/29/2023","0.2147","0.2158","0.2179","0.2139","30.05M","-0.50%"
"07/28/2023","0.2158","0.2146","0.2173","0.2126","33.72M","0.58%"
"07/27/2023","0.2146","0.2118","0.2180","0.2097","37.24M","1.32%"
"07/26/2023","0.2118","0.2099","0.2149","0.2047","39.52M","0.92%"
"07/25/2023","0.2099","0.2123","0.2136","0.2078","34.45M","-1.16%"
"07/24/2023","0.2123","0.2237","0.2263","0.2086","56.83M","-5.09%"
"07/23/2023","0.2237","0.2196","0.2257","0.2177","33.93M","1.77%"
"07/22/2023","0.2198","0.2250","0.2274","0.2174","35.18M","-2.32%"
"07/21/2023","0.2250","0.2226","0.2265","0.2203","33.78M","1.21%"
"07/20/2023","0.2223","0.2249","0.2316","0.2193","47.32M","-1.10%"
"07/19/2023","0.2248","0.2255","0.2307","0.2236","48.33M","-0.26%"
"07/18/2023","0.2254","0.2362","0.2389","0.2211","46.88M","-4.56%"
"07/17/2023","0.2362","0.2358","0.2462","0.2286","65.07M","0.17%"
"07/16/2023","0.2358","0.2412","0.2483","0.2342","60.61M","-2.30%"
"07/15/2023","0.2413","0.2373","0.2463","0.2309","59.32M","1.65%"
"07/14/2023","0.2374","0.2331","0.2552","0.2277","109.09M","1.83%"
"07/13/2023","0.2331","0.2195","0.2372","0.2157","102.96M","6.20%"
"07/12/2023","0.2195","0.2137","0.2213","0.2107","63.79M","2.71%"
"07/11/2023","0.2137","0.2152","0.2189","0.2115","37.55M","-0.66%"
"07/10/2023","0.2151","0.2170","0.2188","0.2087","48.73M","-0.88%"
"07/09/2023","0.2170","0.2193","0.2209","0.2161","31.56M","-0.99%"
"07/08/2023","0.2192","0.2233","0.2258","0.2151","38.65M","-1.80%"
"07/07/2023","0.2233","0.2132","0.2239","0.2115","49.16M","4.74%"
"07/06/2023","0.2131","0.2264","0.2362","0.2130","61.18M","-5.85%"
"07/05/2023","0.2264","0.2386","0.2428","0.2229","52.10M","-5.01%"
"07/04/2023","0.2384","0.2451","0.2493","0.2348","67.90M","-2.75%"
"07/03/2023","0.2451","0.2357","0.2491","0.2357","62.66M","4.00%"
"07/02/2023","0.2357","0.2366","0.2383","0.2273","58.39M","-0.33%"
"07/01/2023","0.2365","0.2272","0.2409","0.2224","78.80M","4.05%"
"06/30/2023","0.2272","0.2181","0.2313","0.2078","98.41M","4.19%"
"06/29/2023","0.2181","0.2140","0.2249","0.2140","43.81M","1.90%"
"06/28/2023","0.2140","0.2341","0.2342","0.2091","68.53M","-8.56%"
"06/27/2023","0.2341","0.2199","0.2374","0.2192","86.50M","6.46%"
"06/26/2023","0.2199","0.2276","0.2332","0.2159","63.72M","-3.35%"
"06/25/2023","0.2275","0.2298","0.2397","0.2254","49.28M","-1.00%"
"06/24/2023","0.2298","0.2381","0.2403","0.2225","57.16M","-3.47%"
"06/23/2023","0.2381","0.2287","0.2487","0.2287","89.17M","4.10%"
"06/22/2023","0.2287","0.2227","0.2534","0.2220","148.24M","2.70%"
"06/21/2023","0.2227","0.1996","0.2287","0.1988","113.58M","11.50%"
"06/20/2023","0.1997","0.1896","0.1997","0.1821","62.67M","5.36%"
"06/19/2023","0.1896","0.1831","0.1931","0.1814","58.23M","3.61%"
"06/18/2023","0.1830","0.1975","0.1976","0.1823","58.23M","-7.42%"
"06/17/2023","0.1976","0.1905","0.2003","0.1890","48.27M","3.75%"
"06/16/2023","0.1905","0.1822","0.1954","0.1804","70.79M","4.57%"
"06/15/2023","0.1821","0.1799","0.1883","0.1730","59.17M","1.32%"
"06/14/2023","0.1798","0.1895","0.1929","0.1767","55.06M","-5.18%"
"06/13/2023","0.1896","0.1851","0.1943","0.1830","76.58M","2.40%"
"06/12/2023","0.1852","0.1829","0.1896","0.1765","60.69M","1.15%"
"06/11/2023","0.1830","0.1880","0.1896","0.1792","61.16M","-2.62%"
"06/10/2023","0.1880","0.2191","0.2197","0.1745","111.39M","-14.19%"
"06/09/2023","0.2191","0.2276","0.2300","0.2159","44.19M","-3.78%"
"06/08/2023","0.2277","0.2287","0.2321","0.2221","42.08M","-0.44%"
"06/07/2023","0.2287","0.2457","0.2469","0.2258","63.81M","-6.93%"
"06/06/2023","0.2457","0.2413","0.2517","0.2333","53.88M","1.79%"
"06/05/2023","0.2413","0.2709","0.2719","0.2268","83.65M","-10.87%"
"06/04/2023","0.2708","0.2685","0.2795","0.2650","39.06M","0.84%"
"06/03/2023","0.2685","0.2731","0.2751","0.2658","35.88M","-1.68%"
"06/02/2023","0.2731","0.2626","0.2794","0.2579","67.14M","4.09%"
"06/01/2023","0.2624","0.2639","0.2692","0.2531","66.89M","-0.56%"
"05/31/2023","0.2639","0.2765","0.2894","0.2586","85.84M","-4.59%"
"05/30/2023","0.2765","0.2609","0.2840","0.2566","97.91M","5.97%"
"05/29/2023","0.2610","0.2681","0.2705","0.2563","56.69M","-2.67%"
